reach_id,n_gauges,upstream_gauge_id,onreach_gauge_id,downstream_gauge_id,max_span_km,river_name,lat,lon,fimbench_id,fimbench_tier,n_fimbench,fimbench_huc8,up_dist_km,dn_dist_km,all_gauge_ids,swot_obs,mean_width_m,iris_slope_m_per_m,iris_slope_source,hand_runnable,has_iris,full_stack
75181000221,2,08161400,,08161950,34.39,Colorado River,29.48393,-96.38942,Tier_2/PSS_20170830T173000_962445W293624N/PSS_3_0m_20170830T173000_962445W293624N_BM,Tier_2,1,12090302;12090401,10.12,52.56,08161400;08161950,2,42.0,1.7850440846750205e-05,1_iris_v2.6,True,True,True
75181000251,2,08161000,,08161400,18.18,Colorado River,29.60094,-96.43845,Tier_2/PSS_20170830T173000_962445W293624N/PSS_3_0m_20170830T173000_962445W293624N_BM,Tier_2,1,12090302;12090401,29.19,9.73,08161000;08161400,2,63.0,0.0003405823320316,1_iris_v2.6,True,True,True
75181000261,2,08161000,,08161400,18.18,Colorado River,29.64688,-96.44212,Tier_2/PSS_20170830T173000_962445W293624N/PSS_3_0m_20170830T173000_962445W293624N_BM,Tier_2,1,12090302;12090401,19.45,19.48,08161000;08161400,2,67.0,0.0003296129300142,1_iris_v2.6,True,True,True
75181000301,2,08160400,,08161000,42.18,Colorado River,29.83223,-96.77076,Tier_2/PSS_20170830T162251_964235W294719N/PSS_3_1m_20170830T162251_964235W294719N_BM;Tier_3/S1A_20170829T00264_965148W295324N/S1A_9_4m_20170829T00264_965148W295324N_BM,Tier_2;Tier_3,2,12090301;12090301;12100102,21.02,49.84,08160400;08161000,2,60.0,0.0002386239888097,1_iris_v2.6,True,True,True
75181000321,2,08159500,08160400,,27.26,Colorado River,29.93001,-96.89415,Tier_3/S1A_20170829T00264_965148W295324N/S1A_9_4m_20170829T00264_965148W295324N_BM,Tier_3,1,12090301;12100102,56.69,,08159500;08160400,2,60.0,0.0002036030571882,1_iris_v2.6,True,True,True
75181000331,2,08159500,,08160400,27.26,Colorado River,29.96236,-96.92649,Tier_3/S1A_20170829T00264_965148W295324N/S1A_9_4m_20170829T00264_965148W295324N_BM,Tier_3,1,12090301;12100102,46.2,10.49,08159500;08160400,2,63.0,0.0002269871667102,1_iris_v2.6,True,True,True
75181000341,2,08159500,,08160400,27.26,Colorado River,29.97177,-96.97858,Tier_3/S1A_20170829T00264_965148W295324N/S1A_9_4m_20170829T00264_965148W295324N_BM,Tier_3,1,12090301;12100102,35.76,20.93,08159500;08160400,2,63.0,0.0001394866451646,1_iris_v2.6,True,True,True
71226700071,2,05064500,,05070000,45.59,Red River Of The North,47.51033,-96.85625,Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_BM,Tier_1,1,09020107;09020108;09020109;09020301,35.31,56.86,05064500;05070000,1,63.0,0.0001508503711187,1_iris_v2.6,True,True,True
71226700091,2,05062130,05064500,,28.74,Red River Of The North,47.36823,-96.84371,Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_BM,Tier_1,1,09020107;09020108;09020109;09020301,59.28,,05062130;05064500,1,60.0,0.0001259915066937,1_iris_v2.6,True,True,True
73160500201,2,01515000,,01531500,25.07,North Branch Susquehanna River,41.86719,-76.50268,HWM/HWM_20110906_20110912_763104W415811N/HWM_10_0m_20110906_20110912_763104W415811N_BM,HWM,1,02050103;02050105,19.21,19.24,01515000;01531500,1,123.0,0.0005147314702656,1_iris_v2.6,True,True,True
73216000171,2,02087570,,02089000,37.25,Neuse River,35.37791,-78.22271,HWM/HWM_20180831_20180918_782136W352113N/HWM_10_0m_20180831_20180918_782136W352113N_BM,HWM,1,03020201,40.34,55.81,02087570;02089000,1,42.0,3.989065336506454e-05,2_sword_v17b,True,True,True
73216000211,2,02087500,02087570,,15.89,Neuse River,35.54817,-78.32583,HWM/HWM_20160928_20161009_782214W352953N/HWM_10_0m_20160928_20161009_782214W352953N_BM,HWM,1,03020201,23.61,,02087500;02087570,1,42.0,0.0004037514975228,2_sword_v17b,True,True,True
73257400031,2,02292900,022929176,,1.2,Caloosahatchee River,26.72315,-81.71312,HWM/HWM_20220923_20220930_814408W264305N/HWM_10_0m_20220923_20220930_814408W264305N_BM,HWM,1,03090205,0.4,,02292900;022929176,1,150.0,0.0003356502103316,1_iris_v3.3,True,True,True
74282100101,2,05586100,,05586300,8.45,Illinois River,39.71295,-90.62386,Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_BM,Tier_1,1,07130003;07130008;07130011,0.0,-0.0,05586300;05586100,1,231.0,1.9412098206799392e-05,1_iris_v2.6,True,True,True
74282100111,2,,05585500,05586300,22.6,Illinois River,39.868,-90.57471,Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_BM,Tier_1,1,07130003;07130008;07130011,,19.57,05585500;05586300,1,192.0,2.3669735006527555e-05,1_iris_v2.6,True,True,True
74293700041,2,06810070,,06813500,43.43,Missouri River,40.3082,-95.61793,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,10.72,43.11,06810070;06813500,1,229.0,0.0001814549294388,1_iris_v2.6,True,True,True
74293800021,2,06808500,06810000,,30.93,Nishnabotna River,40.60791,-95.63766,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,31.84,,06808500;06810000,1,48.0,0.0001986764289054,1_iris_v2.6,True,True,True
74293800031,2,06808500,,06810000,30.93,Nishnabotna River,40.69559,-95.60136,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,21.21,10.63,06808500;06810000,1,36.0,0.0001235190817163,1_iris_v2.6,True,True,True
74293800041,2,06808500,,06810000,30.93,Nishnabotna River,40.78673,-95.59109,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,10.6,21.24,06808500;06810000,1,42.0,0.0004722492845191,1_iris_v2.6,True,True,True
74293900011,2,06807000,,06810070,35.68,Missouri River,40.51269,-95.71292,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,36.45,19.2,06807000;06810070,1,234.0,0.0001733565083404,1_iris_v2.6,True,True,True
74293900021,2,06807000,,06810070,35.68,Missouri River,40.55227,-95.76641,Tier_3/S1A_20190529T00130_952601W402014N/S1A_9_5m_20190529T00130_952601W402014N_BM,Tier_3,1,10240001;10240002;10240003;10240004;10240005;10240006;10240008;10240010,28.0,27.65,06807000;06810070,1,225.0,0.000197947352987,1_iris_v2.6,True,True,True
